Sample_1,Sample_2,Jaccard,Euclidean,Cosine,Joint_Similarity,Common_Substance
SAM_013,SAM_050,0.5,0.828784526,0.690251537,0.673184416,Phenacetin
SAM_049,SAM_097,0.5,0.810036273,0.707148955,0.672742615,Caffeine
SAM_049,SAM_097,0.5,0.810036273,0.707148955,0.672742615,Heroin
SAM_049,SAM_097,0.5,0.810036273,0.707148955,0.672742615,Cocaine
SAM_049,SAM_097,0.5,0.810036273,0.707148955,0.672742615,Phenacetin
SAM_059,SAM_094,0.555555556,0.78379003,0.676432199,0.671970991,Ecgonidine methyl ester
SAM_059,SAM_094,0.555555556,0.78379003,0.676432199,0.671970991,Heroin
SAM_059,SAM_094,0.555555556,0.78379003,0.676432199,0.671970991,6-Monoacetylmorphine
SAM_059,SAM_094,0.555555556,0.78379003,0.676432199,0.671970991,Papaverine
SAM_059,SAM_094,0.555555556,0.78379003,0.676432199,0.671970991,Phenacetin
SAM_079,SAM_086,0.545454545,0.82370431,0.639326608,0.669193469,Ecgonidine methyl ester
SAM_079,SAM_086,0.545454545,0.82370431,0.639326608,0.669193469,Cocaine
SAM_079,SAM_086,0.545454545,0.82370431,0.639326608,0.669193469,Meconine
SAM_079,SAM_086,0.545454545,0.82370431,0.639326608,0.669193469,Acetylcodeine
SAM_079,SAM_086,0.545454545,0.82370431,0.639326608,0.669193469,Heroin
SAM_079,SAM_086,0.545454545,0.82370431,0.639326608,0.669193469,Papaverine
SAM_060,SAM_076,0.444444444,0.837595249,0.723183814,0.668955595,Cinnamoylcocaine
SAM_060,SAM_076,0.444444444,0.837595249,0.723183814,0.668955595,Acetaminophen
SAM_060,SAM_076,0.444444444,0.837595249,0.723183814,0.668955595,Diacetamate
SAM_060,SAM_076,0.444444444,0.837595249,0.723183814,0.668955595,Papaverine
SAM_016,SAM_027,0.545454545,0.781425671,0.675409269,0.667509623,Cocaine
SAM_016,SAM_027,0.545454545,0.781425671,0.675409269,0.667509623,Meconine
SAM_016,SAM_027,0.545454545,0.781425671,0.675409269,0.667509623,Acetylcodeine
SAM_016,SAM_027,0.545454545,0.781425671,0.675409269,0.667509623,Papaverine
